35700118867700100033-LL1	MADLL1			Calle de Santa Brígida	MADRID	28004	ES				SameDay Drop off	40.4244200375045,-3.69941426161828				28004			1
35700120000600100030-LL1	MADLL1			Calle de Juan de Mena	MADRID	28014	ES				SameDay Drop off	40.4173796,-3.6926749				28004			1
35700120269400100033-LL1	MADLL1			Calle de Andrés Mellado	MADRID	28015	ES				SameDay Drop off	40.431629,-3.7147063				28004			1
35700120030500100038-LL1	MADLL1			Calle de Bravo Murillo	MADRID	28015	ES				SameDay Drop off	40.4346545,-3.7046841				28004			1
35700121197100100031-LL1	MADLL1			Calle de Melilla	MADRID	28005	ES				SameDay Drop off	40.4001071,-3.709522				28004			1
35700121266600100039-LL1	MADLL1			Calle de Andrés Mellado	MADRID	28015	ES				SameDay Drop off	40.431629,-3.7147063				28004			1
35700122120600100033-LL1	MADLL1			Calle de Génova	MADRID	28004	ES				SameDay Drop off	40.4273442,-3.6946158				28004			1
35700122359200100031-LL1	MADLL1			Calle de San Bernardo	MADRID	28015	ES				SameDay Drop off	40.4307391,-3.7055909				28004			1
35700122827400100033-LL1	MADLL1			Calle Príncipe	MADRID	28012	ES				SameDay Drop off	40.4156599847673,-3.70040003382618				28004			1
35700127281000100032-LL1	MADLL1			Paseo de los Melancólicos	MADRID	28005	ES				SameDay Drop off	40.4051801,-3.7209894				28004			1
35700129613400100035-LL1	MADLL1			Calle de Juanelo	MADRID	28012	ES				SameDay Drop off	40.4110499799303,-3.70678997771199				28004			1
35700129859000100031-LL1	MADLL1			Calle de Antonio Maura	MADRID	28014	ES				SameDay Drop off	40.4163456,-3.6900408				28004			1
35700131101500100031-LL1	MADLL1			Calle de José Antonio de Armona	MADRID	28012	ES				SameDay Drop off	40.4046594,-3.6970088				28004			1
35700131337100100038-LL1	MADLL1			Calle de Juan Duque	MADRID	28005	ES				SameDay Drop off	40.4111958,-3.7190962				28004			1
35700136279700100030-LL1	MADLL1			Calle de Miguel Servet	MADRID	28012	ES				SameDay Drop off	40.4057064,-3.7017704				28004			1
35700140007900200037-LL1	MADLL1			Calle de Orellana	MADRID	28004	ES				SameDay Drop off	40.4267323,-3.6954207				28004			1
35700140007900100030-LL1	MADLL1			Calle de Orellana	MADRID	28004	ES				SameDay Drop off	40.4267323,-3.6954207				28004			1
35700140551100100036-LL1	MADLL1			Calle del Salitre	MADRID	28012	ES				SameDay Drop off	40.4099916,-3.6979637				28004			1
35700140604000100030-LL1	MADLL1			Calle Gasómetro	MADRID	28005	ES				SameDay Drop off	40.404329998607,-3.70799001478963				28004			1
35700140780100100030-LL1	MADLL1			Calle de la Ribera de Curtidores	MADRID	28005	ES				SameDay Drop off	40.4043388,-3.7064362				28004			1
35700141014000100036-LL1	MADLL1			Calle de Alcalá	MADRID	28014	ES				SameDay Drop off	40.4185499811632,-3.69789996356604				28004			1
35700143861900100035-LL1	MADLL1			Calle de San Pedro	MADRID	28014	ES				SameDay Drop off	40.4119600031581,-3.69483998217379				28004			1
35700143946400100034-LL1	MADLL1			Calle de Sagasta	MADRID	28004	ES				SameDay Drop off	40.4289499,-3.7009776				28004			1
35700147765300100038-LL1	MADLL1			Calle del General Castaños	MADRID	28004	ES				SameDay Drop off	40.4252144,-3.6940738				28004			1
35700149640200100037-LL1	MADLL1			Calle del Divino Pastor	MADRID	28004	ES				SameDay Drop off	40.427736,-3.7041444				28004			1
35700149864200100037-LL1	MADLL1			Calle de Alfonso XII	MADRID	28014	ES				SameDay Drop off	40.4080359,-3.6888774				28004			1
35700153194900100031-LL1	MADLL1			Calle del Mesón de Paredes	MADRID	28012	ES				SameDay Drop off	40.4065599,-3.7017376				28004			1
35700154539400100034-LL1	MADLL1			Paseo Imperial	MADRID	28005	ES				SameDay Drop off	40.4076199794223,-3.71695001782709				28004			1
35700154634100100039-LL1	MADLL1			Calle de Bravo Murillo	MADRID	28015	ES				SameDay Drop off	40.4374300085182,-3.7044299690539				28004			1
35700155513100100036-LL1	MADLL1			Paseo de Juan Antonio Vallejo-Nájera Botas	MADRID	28005	ES				SameDay Drop off	40.4016859,-3.708348				28004			1
35700155525700100033-LL1	MADLL1			Paseo de Juan Antonio Vallejo-Nájera Botas	MADRID	28005	ES				SameDay Drop off	40.4041303,-3.7149358				28004			1
35700155602000100038-LL1	MADLL1			Calle de Espalter	MADRID	28014	ES				SameDay Drop off	40.4130348,-3.6895429				28004			1
35700158810400100030-LL1	MADLL1			Paseo de Juan Antonio Vallejo-Nájera Botas	MADRID	28005	ES				SameDay Drop off	40.4040363,-3.7144975				28004			1
35700158926700100035-LL1	MADLL1			Calle de Belén	MADRID	28004	ES				SameDay Drop off	40.4243199994901,-3.69611000814294				28004			1
35700159230700100032-LL1	MADLL1			Calle de Orellana	MADRID	28004	ES				SameDay Drop off	40.4261254,-3.6944936				28004			1
35700159342800100031-LL1	MADLL1			Calle del Clavel	MADRID	28004	ES				SameDay Drop off	40.4205295,-3.699511				28004			1
35700159517800100033-LL1	MADLL1			Calle del Doctor Fourquet	MADRID	28012	ES				SameDay Drop off	40.4084012,-3.6958247				28004			1
35700160133400100035-LL1	MADLL1			Paseo de la Virgen del Puerto	MADRID	28005	ES				SameDay Drop off	40.4108067,-3.7211044				28004			1
35700160482200100036-LL1	MADLL1			Calle de Montalbán	MADRID	28014	ES				SameDay Drop off	40.4182549,-3.6898005				28004			1
35700161394400100039-LL1	MADLL1			Calle del Divino Pastor	MADRID	28004	ES				SameDay Drop off	40.4272400030993,-3.70202000425292				28004			1
35700161656300100039-LL1	MADLL1			Calle de Carranza	MADRID	28004	ES				SameDay Drop off	40.4294249,-3.7038226				28004			1
35700186318500100033-LL1	MADLL1			Calle de Andrés Mellado	MADRID	28015	ES				SameDay Drop off	40.4327799800936,-3.71459998363378				28004			1
35700186694400100039-LL1	MADLL1			Calle de Manuela Malasaña	MADRID	28004	ES				SameDay Drop off	40.4287232626837,-3.70412215953663				28004			1
35700186726200100039-LL1	MADLL1			Paseo de las Acacias	MADRID	28005	ES				SameDay Drop off	40.4020077,-3.7122362				28004			1
35700187051600100037-LL1	MADLL1			Calle de Sagasta	MADRID	28004	ES				SameDay Drop off	40.4289754,-3.7013201				28004			1
35700187713600100034-LL1	MADLL1			Calle de Carranza	MADRID	28004	ES				SameDay Drop off	40.4296436,-3.7041489				28004			1
35700187905400100035-LL1	MADLL1			Calle de Fuenterrabía	MADRID	28014	ES				SameDay Drop off	40.4062600156321,-3.68151996456157				28004			1
